Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
K2615,Yahoo - US,4.3E+16,fly to florence,Advanced,Western Europe Destinations,Florence,uncategorized,,Unassigned,Live,6.25,1.00,2.31,2.31,11.00,0.09,1.27,9.00,0.26,8777.95,2.31,9.00
K2615,Yahoo - US,4.3E+16,low international airfare,Advanced,Geo Targeted DC,Low International DC,uncategorized,,Unassigned,Paused,6.25,1.00,0.63,0.63,6.00,0.17,1.00,1.00,0.63,1574.20,0.63,1.00
K2003,MSN - Global,4.3E+16,air discount france ticket,Broad,Air France Brand & French Destinations,France,uncategorized,Position 2-5 Bid Strategy,Unassigned,Deactivated,0.00,1.00,0.39,0.39,9.00,0.11,1.11,1.00,0.39,390.15,0.39,1.00
K1175,Google - Global,4.3E+16,[airfrance],Exact,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unassigned,Unavailable,7.50,59.00,2.31,0.04,401.00,0.15,2.00,0.03,1.16,1665.15,2.31,2.00
K1123,Overture - Global,4.3E+16,air france online booking,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.25,8.00,2.20,0.28,318.00,0.03,2.98,0.13,2.20,935.00,2.20,1.00
K1123,Overture - Global,4.3E+16,"airfrance,com",Standard,Unassigned,Unassigned,airfrancewebsite,Position 1-2 Target,Unassigned,Paused,0.13,42.00,5.25,0.13,722.00,0.06,1.13,0.05,2.63,1817.30,5.25,2.00
K435,Google - US,4.3E+16,paris cheap airline,Broad,Geo Targeted San Francisco,San Francisco to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,6.25,3.00,5.21,1.74,13.00,0.23,1.00,0.33,5.21,1685.55,5.21,1.00
K1122,Overture - US,4.3E+16,airfrance.us,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Paused,0.33,47.00,11.80,0.25,547.00,0.09,1.18,0.04,5.90,3796.10,11.80,2.00
K1123,Overture - Global,4.3E+16,air travel to paris,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Unavailable,7.50,13.00,5.21,0.40,448.00,0.03,1.86,0.08,5.21,1513.00,5.21,1.00
K1175,Google - Global,4.3E+16,air france site,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,,Unassigned,Unavailable,5.00,19.00,8.24,0.43,129.00,0.15,1.03,0.05,8.24,2348.55,8.24,1.00
K1123,Overture - Global,4.3E+16,cheap fare to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.69,29.00,26.61,0.92,559.00,0.05,2.33,0.07,13.31,7418.80,26.61,2.00
K1122,Overture - US,4.3E+16,air france.com,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Paused,0.31,273.00,46.35,0.17,3171.00,0.09,1.01,0.04,4.63,11271.85,46.35,10.00
K435,Google - US,4.3E+16,air france us,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,10.00,231.00,99.55,0.43,1277.00,0.18,1.02,0.09,4.98,23076.65,99.55,20.00
K435,Google - US,4.3E+16,airfrance,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Paused,10.00,907.00,235.11,0.26,4352.00,0.21,1.01,0.03,9.04,48551.15,235.11,26.00
K1122,Overture - US,4.3E+16,cdg flight,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.13,18.00,4.75,0.26,169.00,0.11,1.66,0.06,4.75,896.75,4.75,1.00
K435,Google - US,4.3E+16,airfrance us,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,10.00,207.00,30.79,0.15,730.00,0.28,1.00,0.02,6.16,5733.25,30.79,5.00
K435,Google - US,4.3E+16,france airline ticket,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,6.25,2.00,2.69,1.34,24.00,0.08,1.54,0.50,2.69,494.70,2.69,1.00
K435,Google - US,4.3E+16,airfrance website,Broad,Air France Branded,Air France Website,uncategorized,Position 2-5 Bid Strategy,Unassigned,Live,0.71,10.00,9.94,0.99,80.00,0.13,1.06,0.10,9.94,1815.60,9.94,1.00
K1123,Overture - Global,4.3E+16,airplane france ticket,Advanced,Unassigned,Unassigned,airline,Position 1-2 Target,Unassigned,Paused,0.44,16.00,8.31,0.52,6073.00,0.00,2.46,0.06,8.31,1473.90,8.31,1.00
