Tags,Author
"Albert Einstein,March,Germany,adulthood,success,value",Albert Einstein
"Marilyn Monroe,June,The United States,be-yourself,inspirational",Marilyn Monroe
"J.K. Rowling,July,The United Kingdom,abilities,choices",J.K. Rowling
"Albert Einstein,March,Germany,change,deep-thoughts,thinking,world",Albert Einstein
"Jane Austen,December,The United Kingdom,aliteracy,books,classic,humor",Jane Austen
"Steve Martin,August,The United States,humor,obvious,simile",Steve Martin
"Eleanor Roosevelt,October,The United States,misattributed-eleanor-roosevelt",Eleanor Roosevelt
"Albert Einstein,March,Germany,inspirational,life,live,miracle,miracles",Albert Einstein
"Andre Gide,November,France,life,love",Andre Gide
"Thomas A. Edison,February,The United States,edison,failure,inspirational,paraphrased",Thomas A. Edison
"Allen Saunders,April,The United States,fate,life,misattributed-john-lennon,planning,plans",Allen Saunders
"Elie Wiesel,September,Romania,activism,apathy,hate,indifference,inspirational,love,opposite,philosophy",Elie Wiesel
"Friedrich Nietzsche,October,Germany,friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage",Friedrich Nietzsche
"Mark Twain,November,The United States,books,contentment,friends,friendship,life",Mark Twain
"Douglas Adams,March,The United Kingdom,life,navigation",Douglas Adams
"Dr. Seuss,March,The United States,fantasy",Dr. Seuss
"Bob Marley,February,Jamaica,love",Bob Marley
"Marilyn Monroe,June,The United States,friends,heartbreak,inspirational,life,love,sisters",Marilyn Monroe
"Albert Einstein,March,Germany,simplicity,understand",Albert Einstein
"J.K. Rowling,July,The United Kingdom,courage,friends",J.K. Rowling
"J.K. Rowling,July,The United Kingdom,nan",J.K. Rowling
"Garrison Keillor,August,The United States,humor,religion",Garrison Keillor
"Dr. Seuss,March,The United States,comedy,life,yourself",Dr. Seuss
"Jim Henson,September,The United States,humor",Jim Henson
"Bob Marley,February,Jamaica,music",Bob Marley
"Albert Einstein,March,Germany,imagination",Albert Einstein
"Albert Einstein,March,Germany,children,fairy-tales",Albert Einstein
"Pablo Neruda,July,Chile,love,poetry",Pablo Neruda
"Ralph Waldo Emerson,May,The United States,happiness",Ralph Waldo Emerson
"Mother Teresa,August,the Former Yugoslav Republic of,attributed-no-source",Mother Teresa
"Jorge Luis Borges,August,Argentina,books,library",Jorge Luis Borges
"Albert Einstein,March,Germany,knowledge,learning,understanding,wisdom",Albert Einstein
"George Eliot,November,The United Kingdom,inspirational",George Eliot
"William Nicholson,January,The United Kingdom,misattributed-to-c-s-lewis,reading",William Nicholson
"Charles M. Schulz,November,The United States,chocolate,food,humor",Charles M. Schulz
"J.K. Rowling,July,The United Kingdom,death,inspirational",J.K. Rowling
"J.K. Rowling,July,The United Kingdom,dumbledore",J.K. Rowling
"Dr. Seuss,March,The United States,learning,reading,seuss",Dr. Seuss
"Mother Teresa,August,the Former Yugoslav Republic of,misattributed-to-mother-teresa,paraphrased",Mother Teresa
"Bob Marley,February,Jamaica,friendship",Bob Marley
"J.K. Rowling,July,The United Kingdom,dumbledore",J.K. Rowling
"Marilyn Monroe,June,The United States,attributed-no-source",Marilyn Monroe
"James Baldwin,August,The United States,love",James Baldwin
"Marilyn Monroe,June,The United States,girls,love",Marilyn Monroe
"Albert Einstein,March,Germany,life,simile",Albert Einstein
"Marilyn Monroe,June,The United States,love",Marilyn Monroe
"Martin Luther King Jr.,January,The United States,hope,inspirational",Martin Luther King Jr.
"Marilyn Monroe,June,The United States,nan",Marilyn Monroe
"George R.R. Martin,September,The United States,read,readers,reading,reading-books",George R.R. Martin
"C.S. Lewis,November,Ireland,books,inspirational,reading,tea",C.S. Lewis
"Stephenie Meyer,December,The United States,drug,romance,simile",Stephenie Meyer
"Helen Keller,June,The United States,inspirational",Helen Keller
"Ernest Hemingway,July,The United States,books,friends,novelist-quotes",Ernest Hemingway
"George Bernard Shaw,July,Ireland,inspirational,life,yourself",George Bernard Shaw
"Alexandre Dumas fils,July,France,misattributed-to-einstein",Alexandre Dumas fils
"Haruki Murakami,January,Japan,books,thought",Haruki Murakami
"Albert Einstein,March,Germany,music",Albert Einstein
"Jane Austen,December,The United Kingdom,friendship,love",Jane Austen
"Marilyn Monroe,June,The United States,attributed-no-source",Marilyn Monroe
"Eleanor Roosevelt,October,The United States,attributed,fear,inspiration",Eleanor Roosevelt
"Dr. Seuss,March,The United States,troubles",Dr. Seuss
"Mark Twain,November,The United States,education",Mark Twain
"Ralph Waldo Emerson,May,The United States,life,regrets",Ralph Waldo Emerson
"J.R.R. Tolkien,January,South Africa,bilbo,journey,lost,quest,travel,wander",J.R.R. Tolkien
"Ernest Hemingway,July,The United States,good,writing",Ernest Hemingway
"J.K. Rowling,July,The United Kingdom,live-death-love",J.K. Rowling
"Charles Bukowski,August,Germany,alcohol",Charles Bukowski
"Suzanne Collins,August,The United States,the-hunger-games",Suzanne Collins
"Suzanne Collins,August,The United States,humor",Suzanne Collins
"C.S. Lewis,November,Ireland,love",C.S. Lewis
"W.C. Fields,January,The United States,humor,sinister",W.C. Fields
"Mark Twain,November,The United States,books,classic,reading",Mark Twain
"Ayn Rand,February,Russian Federation,nan",Ayn Rand
"George Carlin,May,The United States,humor,insanity,lies,lying,self-indulgence,truth",George Carlin
"John Lennon,October,The United Kingdom,beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace",John Lennon
"Dr. Seuss,March,The United States,humor,philosophy",Dr. Seuss
"J.D. Salinger,January,The United States,authors,books,literature,reading,writing",J.D. Salinger
"Terry Pratchett,April,The United Kingdom,humor,open-mind,thinking",Terry Pratchett
"Charles Bukowski,August,Germany,humor",Charles Bukowski
"Alfred Tennyson,August,The United Kingdom,friendship,love",Alfred Tennyson
"C.S. Lewis,November,Ireland,christianity,faith,religion,sun",C.S. Lewis
"Mark Twain,November,The United States,misattributed-mark-twain,truth",Mark Twain
"Mark Twain,November,The United States,death,life",Mark Twain
"C.S. Lewis,November,Ireland,god",C.S. Lewis
"J.K. Rowling,July,The United Kingdom,integrity",J.K. Rowling
"Albert Einstein,March,Germany,mistakes",Albert Einstein
"Jane Austen,December,The United Kingdom,books,library,reading",Jane Austen
